Año,Trimestre,Provincia,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Total,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS
2020,4,Tucumán,54.78,231067,22,231089,290,970,44095,54334,32155,4105,93594,268
2020,3,Buenos Aires,67.66,3932211,5066,3937277,37542,31514,1113823,23471,219772,194248,2085815,19853
2020,3,Capital Federal,107.68,1371285,1390,1372675,2640,3120,162222,85083,68753,78028,977766,2470
2020,3,Catamarca,47.16,49903,1,49904,630,0,8276,8768,11195,5620,18886,2154
2020,3,Chaco,41.54,133951,3,133954,3080,1120,24675,21639,27546,13751,38729,7194
2020,3,Chubut,68.34,129202,825,130027,1580,1090,87559,22114,12217,2818,1110,3942
2020,3,Córdoba,75.22,867417,55,867472,1680,3064,218599,124833,84236,63823,361021,11728
2020,3,Corrientes,41.75,123388,3,123391,720,5270,35190,23315,25308,8615,25344,502
2020,3,Entre Ríos,58.19,241482,13,241495,1300,2911,66648,51478,40797,14377,49395,15759
2020,3,Formosa,31.91,49209,0,49209,3910,1510,23163,7432,7125,9910,8219,1737
2020,3,Jujuy,54.04,106728,0,106728,550,1820,32131,10566,45198,2930,15238,3065
2020,3,La Pampa,79.26,93619,116,93735,2930,8100,66695,782,5577,2189,6322,4029
2020,3,La Rioja,50.12,52613,3,52616,210,10,37105,5955,466,1240,4748,20
2020,3,Mendoza,37.35,207173,615,207788,580,400,141404,12123,42433,3448,8237,450
2020,3,Misiones,41.6,143186,0,143186,710,5240,39005,24215,25942,13663,30987,8779
2020,3,Neuquén,65.24,128862,373,129235,2180,3270,60463,6561,5975,5449,49439,8030
2020,3,Río Negro,57.05,130966,501,131467,1140,4660,68986,3769,7096,3455,28488,19093
2020,3,Salta,52.32,180844,2,180846,1290,5140,32780,64736,1599,7928,43773,14996
2020,3,San Juan,38.79,77071,256,77327,480,1940,65526,7110,6529,410,128,415
2020,3,San Luis,79.96,116417,148,116565,1050,0,12199,3351,2666,61319,8,36917
2020,3,Santa Cruz,35.95,39084,197,39281,660,0,26888,4015,673,6290,120,8330
2020,3,Santa Fe,72.12,802861,137,802998,5680,1241,213353,199381,92095,58797,210562,27001
2020,3,Santiago Del Estero,43.38,105491,1,105492,1330,9090,33287,57418,4658,2920,3994,4801
2020,3,Tierra Del Fuego,76.81,39366,289,39655,110,0,22094,5414,3726,4810,937,6992
2020,3,Tucumán,53.23,223854,22,223876,520,970,45913,5461,33126,3246,84195,2637
2020,2,Buenos Aires,65.22,3772480,5066,3777546,37542,31606,1129236,241336,233132,188995,1894466,21233
2020,2,Capital Federal,106.41,1356431,1390,1357821,2640,3120,166474,94585,79858,8016,935481,6870
2020,2,Catamarca,45.43,47975,1,47976,630,0,8801,869,10242,4260,16578,3176
2020,2,Chaco,39.83,128129,3,128132,3080,9280,24350,2114,29044,12082,33311,6969
2020,2,Chubut,57.34,107831,825,108656,1580,1090,69578,22188,10537,1473,614,3999
2020,2,Córdoba,72.71,836413,55,836468,1680,4383,219025,125932,8953,63216,325243,8971
2020,2,Corrientes,40.3,118863,3,118866,720,5270,34242,22845,25844,7898,22418,502
2020,2,Entre Ríos,56.54,234100,13,234113,1300,3679,66758,5064,4209,12856,43391,14569
2020,2,Formosa,31.14,47932,0,47932,3910,1510,23534,7109,6998,9610,7475,1313
2020,2,Jujuy,47.89,94316,0,94316,550,1820,30548,10519,26829,2090,9417,16557
2020,2,La Pampa,76.1,89693,116,89809,2930,8100,71218,7531,38,1657,3377,1123
2020,2,La Rioja,49.84,52152,3,52155,210,10,37375,5661,4686,730,4336,20
2020,2,Mendoza,36.25,200569,615,201184,580,400,142253,12439,35274,3248,5422,245
2020,2,Misiones,40.89,140340,0,140340,710,5240,39867,23719,26445,12305,28763,8646
2020,2,Neuquén,63.9,125799,373,126172,2180,3270,61171,6103,6625,5296,46432,0
2020,2,Río Negro,56.37,128985,501,129486,1140,4660,70817,3335,7498,3246,26953,17057
2020,2,Salta,51.58,177760,2,177762,1290,5140,41801,64463,16989,7741,39594,6531
2020,2,San Juan,35.09,69521,256,69777,480,1940,59113,9170,4908,400,127,443
2020,2,San Luis,78.41,113804,148,113952,1050,0,11439,3585,1934,60889,8,35992
2020,2,Santa Cruz,35.79,38672,197,38869,660,0,26938,4166,6541,5460,119,4930
